Gene	cancer_d1-healthy_d1_FC	cancer_d22-healthy_d22_FC	cancer_d2-cancer_d1-healthy_d2-healthy_d1_FC	cancer_d23-cancer_d22-healthy_d23-healthy_d22_FC	cancer_d1-healthy_d1_logFC	cancer_d22-healthy_d22_logFC	cancer_d2-cancer_d1-healthy_d2-healthy_d1_logFC	cancer_d23-cancer_d22-healthy_d23-healthy_d22_logFC	cancer_d1-healthy_d1_tstat	cancer_d22-healthy_d22_tstat	cancer_d2-cancer_d1-healthy_d2-healthy_d1_tstat	cancer_d23-cancer_d22-healthy_d23-healthy_d22_tstat	cancer_d1-healthy_d1_pval	cancer_d22-healthy_d22_pval	cancer_d2-cancer_d1-healthy_d2-healthy_d1_pval	cancer_d23-cancer_d22-healthy_d23-healthy_d22_pval	cancer_d1-healthy_d1_adjpval	cancer_d22-healthy_d22_adjpval	cancer_d2-cancer_d1-healthy_d2-healthy_d1_adjpval	cancer_d23-cancer_d22-healthy_d23-healthy_d22_adjpval
IFN-gamma	3.2892889899318	3.1275303253204	-1.30538815503236	-3.50051537911304	1.71777576585829	1.64502387319277	-0.384478853596744	-1.80756734495839	1.99990133776643	1.91490758987243	-0.92973466399116	-4.3591328191502	0.0464166942612264	0.0564598004280389	0.353259669684277	1.79896339188781e-05	0.0709902382818757	0.0917471756955633	0.612316760786081	0.000233865240945416
IL-6	1.02354353122225	-1.03907158732737	-1.02248197051172	-1.12836124414045	0.0335724613676305	-0.0552950528219014	-0.0320754042597753	-0.174229019594624	0.159796377228442	-0.263150098944873	-0.317101468719652	-1.71791692634271	0.873149182164959	0.792615815912122	0.751387524421654	0.0868452441777061	0.873149182164959	0.824320448548607	0.822211112005062	0.150531756574691
IL-8	3.05031327858734	2.99971778567471	-3.28470962734423	1.06077257374571	1.60895742046382	1.58482677793472	-1.71576584004336	0.0851153801930709	2.72746146422277	2.68614459379995	-6.04107820160333	0.298895953221677	0.00675893857260546	0.00763151211150925	4.533550404992e-09	0.765226703672426	0.0135178771452109	0.0152630242230185	1.17872310529792e-07	0.765226703672426
TNF-alpha	1.42094933406496	1.65224468601016	-1.0142344324266	-1.17742627442484	0.506855114189156	0.724427355736273	-0.0203911586612151	-0.235636727055362	3.18075415762297	4.54542636168536	-0.265785046376563	-3.06328336161528	0.00162294655735205	7.96461196442363e-06	0.790587607697175	0.00238818184218734	0.00383605549919575	4.14159822150029e-05	0.822211112005062	0.00776159098710885
IL-12_IL-23p40	2.33027640811668	2.64646506738661	1.10573740505194	-1.03733270380746	1.22050109177563	1.40406661091943	0.145008809252088	-0.0528786840751874	8.5069061405732	9.78486176828108	2.09927930138032	-0.763505249327401	8.66363336467709e-16	8.44471351910966e-20	0.0366289788077882	0.445763090389739	7.50848224938681e-15	7.31875171656171e-19	0.119044181125312	0.551897159530153
IL-15	1.06021820553658	1.09747928544342	-1.02360353172487	-1.18012477050684	0.0843612191734606	0.134193709628443	-0.0336570302089891	-0.238939398803586	0.617914671061603	0.982997782100673	-0.512122773477807	-3.6264075694324	0.537104269923149	0.326407199250281	0.608945014859596	0.000338028883456589	0.608828005459203	0.385753962750332	0.772615083881254	0.00175775019397426
IL-16	-1.12211995117246	1.05373380525664	-1.5709206845246	1.02967504328369	-0.166226903853934	0.0755104586829241	-0.651610341082965	0.0421891069112954	-0.615671901103498	0.279633140185594	-5.01277664119336	0.323702660531823	0.53857862021391	0.779951979287708	9.19647719334644e-07	0.746389057296571	0.608828005459203	0.824320448548607	7.97028023423358e-06	0.765226703672426
IL-7	1.6927585652374	1.97168431788278	1.20791316782908	-1.38372361225834	0.759376219203207	0.979428583418529	0.272516748665524	-0.468555804936707	2.46154186105339	3.17436251064154	1.83478761769935	-3.14636770345967	0.0143975849218672	0.00165791148709491	0.0675287988691482	0.00181941533333275	0.0233960754980342	0.0035921415553723	0.195083196733095	0.00675782838095023
VEGF	-3.27542416657475	-2.93147758170869	-1.29578297820897	-1.13437855327545	-1.71168174737954	-1.55162802385655	-0.373824111371156	-0.181902162147368	-4.68266161497764	-4.24415156221532	-2.12412188664893	-1.03087388198905	4.29883524369275e-06	2.92962605071804e-05	0.0344790681667564	0.30343164298	1.86282860560019e-05	0.000126950462197782	0.119044181125312	0.394461135874
CRP	7.06881513501989	7.48046293542219	-1.24453875709824	-2.04360031539465	2.82146841275936	2.90312755540321	-0.315611159047577	-1.0311130635055	5.02398186659109	5.1685949937374	-1.16725996243601	-3.803444464108	8.71494254502793e-07	4.31715143753951e-07	0.244033796214608	0.00017295365518548	4.53177012341452e-06	2.80614843440068e-06	0.488067592429217	0.00149893167827416
