Gene	cancer_d1-healthy_d1_FC	cancer_d22-healthy_d22_FC	cancer_d2-cancer_d1-healthy_d2-healthy_d1_FC	cancer_d23-cancer_d22-healthy_d23-healthy_d22_FC	cancer_d1-healthy_d1_logFC	cancer_d22-healthy_d22_logFC	cancer_d2-cancer_d1-healthy_d2-healthy_d1_logFC	cancer_d23-cancer_d22-healthy_d23-healthy_d22_logFC	cancer_d1-healthy_d1_tstat	cancer_d22-healthy_d22_tstat	cancer_d2-cancer_d1-healthy_d2-healthy_d1_tstat	cancer_d23-cancer_d22-healthy_d23-healthy_d22_tstat	cancer_d1-healthy_d1_pval	cancer_d22-healthy_d22_pval	cancer_d2-cancer_d1-healthy_d2-healthy_d1_pval	cancer_d23-cancer_d22-healthy_d23-healthy_d22_pval	cancer_d1-healthy_d1_adjpval	cancer_d22-healthy_d22_adjpval	cancer_d2-cancer_d1-healthy_d2-healthy_d1_adjpval	cancer_d23-cancer_d22-healthy_d23-healthy_d22_adjpval
IFN-gamma	2.7675581852027	2.61674729537152	-1.74485691847506	-8.9382997898614	1.46861364857718	1.38777460710751	-0.803108737598379	-3.1600004334209	1.6715772566974	1.5793716586662	-1.08656160011516	-4.27223707154001	0.0959206083974102	0.115577589576234	0.278328719175307	2.79852427351372e-05	0.166262387888844	0.273183393543826	0.792903161259842	0.000727616311113568
IL-6	1.83530764029956	1.61353581964854	-1.24353795068884	-1.09335351012106	0.876021912623945	0.690225605253249	-0.314450536855282	-0.128759937917631	3.74976248633513	2.95410797735656	-1.59991886918341	-0.654672712708931	0.000222049204921831	0.00344854923035731	0.11093627786003	0.5133073923215	0.000962213221327933	0.0149437133315484	0.721085806090193	0.798545344911534
IL-8	5.48700208138731	5.61984600273958	-2.60117968436977	4.90075657680512	2.45601812306614	2.49053059768323	-1.37916606125531	2.29300448909459	3.36100547939548	3.40781526428638	-2.24342236114078	3.72732488582473	0.000903863043124764	0.000768187530766085	0.0257853484755049	0.000241573791011938	0.00335720558874912	0.00499321894997955	0.335209530181564	0.0031404592831552
TNF-alpha	-1.31842483629108	-1.18143499756542	1.05639295696082	1.05097501772857	-0.398815325164471	-0.240540254559489	0.0791465881099078	0.0717283760294274	-2.2991753129781	-1.38654677260635	0.54236202877335	0.4911859527564	0.0223573798005234	0.166870689785253	0.588073966835508	0.62374521276015	0.0528447158921462	0.309902709601184	0.792903161259842	0.798545344911534
IL-12_IL-23p40	1.43187854919282	1.24120309425292	1.12525533428645	-1.03276588318015	0.517909129538007	0.311739198545316	0.170252403852868	-0.0465132479539294	3.19659953719507	1.92385611890919	1.24906416177962	-0.341009142719448	0.00157800200231974	0.0555591070914625	0.212862345299325	0.73339598200522	0.00455867245114592	0.160504087153114	0.792903161259842	0.798545344911534
IL-15	1.08473818907385	1.11279752657447	-1.00635980056843	-1.29083333826149	0.117346877781893	0.154191118304521	-0.00914619946926254	-0.368302743801626	0.791141840826613	1.03960918624269	-0.0733096259311991	-2.95007028412665	0.429651432474206	0.299579848462814	0.941621502014578	0.00349503522360839	0.587944065491018	0.486817253752072	0.971173630370501	0.0190735736509696
IL-16	3.21767055833793	3.09322883492846	-1.87182631482845	-1.03394338647689	1.68601662308364	1.62911356695593	-0.904446574685946	-0.0481571931140801	5.1893834784948	5.01362424568913	-3.30897633028819	-0.176063677557648	4.50204247327016e-07	1.04022304427882e-06	0.00108072505144797	0.860392854017904	2.92632760762561e-06	9.01526638374974e-06	0.0280988513376473	0.89480856817862
IL-7	-1.12636456543342	-1.08071554215357	1.1058969542098	-1.67120066263019	-0.171673853720668	-0.111986837661829	0.145216963713296	-0.740884969545601	-0.464959163398973	-0.303266294496978	0.467503467653455	-2.38350534317241	0.64238360211064	0.761950479043646	0.640565250921259	0.0179297946655887	0.759180620676211	0.835059745051146	0.792903161259842	0.0776957768842177
VEGF	-1.01084533388247	1.06395695337135	-1.34536789835388	-1.13705580559527	-0.0155622721068607	0.0894397820289727	-0.428000739736345	-0.185303062040042	-0.0346476435496319	0.199103062003711	-1.13266647757006	-0.490047281801677	0.972389600208075	0.842351232610369	0.258488220345481	0.624549523788263	0.972389600208075	0.876045281914784	0.792903161259842	0.798545344911534
CRP	24.7604400251013	15.1189459507475	-1.2943245191295	-2.23456290944799	4.62996504822753	3.91828565742012	-0.372199381968358	-1.15999266136799	7.51703642266179	6.36079714295377	-0.718292644697246	-2.23706639722376	1.11934567958707e-12	1.01070797877565e-09	0.4732777362855	0.0262037949185751	1.45514938346319e-11	1.31392037240835e-08	0.792903161259842	0.0973283811261362
