"Gene"	"d2-d1_FC"	"d23-d22_FC"	"(d23-d22)-(d2-d1)_FC"	"d2-d1_logFC"	"d23-d22_logFC"	"(d23-d22)-(d2-d1)_logFC"	"d2-d1_tstat"	"d23-d22_tstat"	"(d23-d22)-(d2-d1)_tstat"	"d2-d1_pval"	"d23-d22_pval"	"(d23-d22)-(d2-d1)_pval"	"d2-d1_adjpval"	"d23-d22_adjpval"	"(d23-d22)-(d2-d1)_adjpval"
"IFN-gamma"	1.89056121226527	7.21762315664345	3.81771460760865	0.918814561412894	2.8515238198444	1.93270925843151	2.14088760332642	6.64420466639898	3.1843260331317	0.0355810635619544	4.51412560513776e-09	0.00212451835380743	0.294698175462764	1.71536772995235e-07	0.0807316974446824
"IL-10"	1.0480252312536	1.13209256383114	1.08021498917253	0.067673450240121	0.178991922763969	0.111318472523848	1.0413198768272	2.75422409089964	1.21120618529364	0.301121417821518	0.00740119280948897	0.229674880803649	0.739250961228534	0.0312494807511757	0.538214960927003
"IL-6"	1.18809457885718	1.42791962106817	1.2018568609594	0.248649687163136	0.513914770998595	0.265265083835459	2.91514650021753	6.02509041205324	2.19906242916885	0.00470289593520509	6.07691408123944e-08	0.0310022298512873	0.0893550227688967	7.69742450290329e-07	0.147260591793615
"IL-8"	-1.06477883715468	1.08518271511301	1.15547958949839	-0.0905538025876416	0.117937973540253	0.208491776127895	-0.704729872361571	0.917845641646728	1.14733414894252	0.483193182665334	0.361685163455173	0.254943928860159	0.814204279334969	0.549761448451863	0.538214960927003
"TNF-alpha"	1.00833691320539	1.00888953434509	1.00054805207711	0.0119777636374714	0.0127682190656726	0.00079045542820122	0.175793182462628	0.187394402817623	0.00820330158305635	0.860937173813367	0.851864893896513	0.993476887511545	0.962223900144351	0.874888269407229	0.999023567667817
"IL-12_IL-23p40"	1.04630875879093	1.0207137676748	-1.02507558134974	0.0653086441719779	0.0295783570574208	-0.0357302871145571	0.962057637172419	0.435716966151843	-0.372179057692927	0.339157625476168	0.664311998792521	0.710824541813733	0.739250961228534	0.742466351591641	0.93142526168696
"IL-15"	1.00821098643839	1.15803353345039	1.14860237492676	0.0117975805408765	0.211677030392887	0.19987944985201	0.201103285313225	3.60827765403788	2.40923610081019	0.841170218686162	0.000557660583083091	0.0184771205709949	0.962223900144351	0.0031450032029201	0.123671078357194
"IL-16"	1.05780087890959	1.06241066860246	1.00435789928405	0.0810680792042877	0.0873415392434236	0.00627346003913587	1.21926960623519	1.31362288593205	0.0667178439008408	0.226618742289972	0.19303623050213	0.946986475232221	0.644481397945839	0.376785854589402	0.999023567667817
"IL-17A"	-1.02564404041722	1.09251297743405	1.12052942438371	-0.0365301166864826	0.127650416905326	0.164180533591809	-0.349246349036038	1.22040239947029	1.1099092741498	0.728290519599243	0.227723617143924	0.27205706118167	0.922501324825707	0.393340793248596	0.54411412236334
"IL-7"	1.05284127807325	-1.00650357637857	-1.05968851173971	0.0742879581145131	-0.00935229855280362	-0.0836402566673167	0.940212085564946	-0.118365672584554	-0.748527511200765	0.350171507950358	0.906099025798101	0.456517446508107	0.739250961228534	0.906099025798101	0.722819290304503
"VEGF"	-1.04103479968563	1.12195228908365	1.16799137652302	-0.058018295817674	0.166011326779198	0.224029622596872	-0.865600641701425	2.47679648229177	2.363431671794	0.389510241340014	0.0155439874910276	0.0207374967641056	0.779020482680028	0.059067152465905	0.123671078357194
"CRP"	1.23109416287565	1.23076545990438	-1.00026707198242	0.299941113665	0.299555861683118	-0.000385251981882107	1.35200174326558	1.35026519789927	-0.00122792300435661	0.180497552015524	0.181051233312167	0.999023567667817	0.644481397945839	0.376785854589402	0.999023567667817
"ICAM-1"	1.01778062008703	-1.1436050414934	-1.16393904826581	0.0254266258338021	-0.193588885103942	-0.219015510937744	0.199893886752585	-1.52191780885385	-1.21750472588962	0.842112532587627	0.132296746654528	0.2272851112624	0.962223900144351	0.314204773304505	0.538214960927003
"VCAM-1"	-1.00508227930423	-1.12301976956611	-1.11734112986602	-0.0073136099467952	-0.167383325070606	-0.160069715123811	-0.0595845229575432	-1.36368437036347	-0.922137845445075	0.952647359413912	0.176805966644306	0.359457071342146	0.986609348365469	0.376785854589402	0.654249717960932
"SAA"	1.25952679807362	1.13883605807407	-1.10597727314997	0.332881817615331	0.187560077839009	-0.145321739776321	1.27671176093251	0.719354871869857	-0.394110835797243	0.205700758809574	0.47419070703772	0.69463401306717	0.644481397945839	0.654188124573744	0.93142526168696
"IL-17C"	-1.00063731329072	-1.04548565089861	-1.04481977337064	-0.000919155859987697	-0.0641732613349779	-0.0632541054749902	-0.0168403607277387	-1.1757536637703	-0.819475455388693	0.986609348365469	0.243466742493916	0.415149910361012	0.986609348365469	0.402249400642122	0.717077117896293
"IL-17B"	1.03581918039669	-1.13773092973041	-1.17848351914532	0.0507721783979602	-0.186159404531591	-0.236931582929552	0.53874131308337	-1.9753291114292	-1.77771624555338	0.591684354264244	0.0519651183769022	0.0795638935390641	0.821479086077064	0.164556208193524	0.241040117577721
"IL-17D"	1.04669417464684	1.04047900350139	-1.00597337488265	0.065839974101241	0.0572478522908804	-0.00859212181036062	0.530999465616967	0.461703993495398	-0.0489992982426849	0.597641173410754	0.646186304927641	0.961104353278874	0.821479086077064	0.742466351591641	0.999023567667817
"IL-1Ra"	1.16831783084016	1.44502834858444	1.23684524060143	0.224432800417678	0.531097795813158	0.30666499539548	1.95565002050102	4.62785035581741	1.88953097779119	0.0542865060062985	1.54317845976229e-05	0.0627427329168563	0.294698175462764	0.000146601953677418	0.216747622803685
"TSLP"	1.07070221434794	1.0428480510059	-1.02670970455875	0.0985572909000809	0.0605289641568136	-0.0380283267432673	0.775915595951598	0.476528594355148	-0.211698579027958	0.440274613333686	0.635103636821678	0.832924871713544	0.796687395556194	0.742466351591641	0.95912560985196
