"Gene"	"d2-d1_FC"	"d23-d22_FC"	"(d23-d22)-(d2-d1)_FC"	"d2-d1_logFC"	"d23-d22_logFC"	"(d23-d22)-(d2-d1)_logFC"	"d2-d1_tstat"	"d23-d22_tstat"	"(d23-d22)-(d2-d1)_tstat"	"d2-d1_pval"	"d23-d22_pval"	"(d23-d22)-(d2-d1)_pval"	"d2-d1_adjpval"	"d23-d22_adjpval"	"(d23-d22)-(d2-d1)_adjpval"
"IFN-gamma"	1.64630440612644	3.45423049607737	2.09817241770297	0.719231118630206	1.78836435514614	1.06913323651593	0.700056381331082	1.74068647272866	0.735836594334002	0.499043967261706	0.11078786864565	0.477877253337757	0.910821428990106	0.356983132302649	0.925923326046512
"IL-10"	1.10530415275152	-1.06319540406807	-1.17515429530276	0.144443418745457	-0.0884067733247875	-0.232850192070244	0.807119507137265	-0.49399849389637	-0.920029361654768	0.437422317748775	0.631434479637724	0.378121646595159	0.910821428990106	0.85439682166454	0.925923326046512
"IL-6"	-1.0068317256971	1.55440647137275	1.56502575000696	-0.00982258226383426	0.636363812339252	0.646186394603087	-0.0418028538100003	2.70823116596717	1.94456770387813	0.967436761359378	0.021058087230567	0.0789683617279	0.967436761359378	0.101780754947741	0.572520622527275
"IL-8"	1.35449863424142	7.0363176943829	5.19477651472389	0.437758938852496	2.8148206229127	2.3770616840602	0.650562261866716	4.1831608875683	2.49792444344387	0.529247205687385	0.00167371048159904	0.0304479492034917	0.910821428990106	0.0242688019831861	0.441495263450629
"TNF-alpha"	1.13957327324619	1.23696274852293	1.08546135431846	0.188493691211621	0.306802053806224	0.118308362594603	2.24840732893675	3.65962373529154	0.997880690655181	0.0470024066634596	0.0040238465189433	0.340682591620124	0.700444185555467	0.0321998350725877	0.925923326046512
"IL-12_IL-23p40"	1.10616474021871	1.0209070675753	-1.08351168813622	0.145566260977409	0.0298515447168324	-0.115714716260577	0.566548405869482	0.116183138582419	-0.318456334509574	0.582876857770875	0.909690179018886	0.756356289381552	0.910821428990106	0.909690179018886	0.937068268864834
"IL-15"	1.03972527495293	1.06442167939171	1.0237528172429	0.0562023775767977	0.0900697995693447	0.033867421992547	0.432939126738872	0.693827237429822	0.184475752200518	0.6737798439154	0.50278673367732	0.857139605640862	0.910821428990106	0.752891919168658	0.937068268864834
"IL-16"	-1.13009723881212	-1.01291026421549	1.1156933429709	-0.176446914159428	-0.0185063685065199	0.157940545652908	-1.38200054915839	-0.144949043517016	0.874727508316044	0.195541687180667	0.887484063902316	0.401204245071061	0.801050903186818	0.909690179018886	0.925923326046512
"IL-7"	1.08217545555289	-1.28101094353298	-1.38627860138604	0.113934425536963	-0.357282800514317	-0.471217226051281	0.733203202533711	-2.29922512280823	-2.14425063231146	0.479415707565536	0.0430436466813666	0.0562380349249879	0.910821428990106	0.156033219219954	0.543634337608216
"VEGF"	1.03767310810393	1.11384492417933	1.07340636996422	0.0533520317564289	0.155548386456219	0.10219635469979	0.447964083344639	1.30604380115667	0.606753987263525	0.663241592497113	0.219306161817535	0.556850360539859	0.910821428990106	0.578170790246229	0.937068268864834
